Id,plot_Id,crop_Id,D05_times,D_curr_crop,D_repeat_times_count
133,3,1,1,manioc,1
133,3,2,0,,0
134,1,1,1,maize,1
134,2,1,1,rice,1
134,3,1,1,sorghum,1
134,4,1,1,tomatoes,1
134,4,2,1,onion,1
134,4,3,1,green_pepper,1
135,1,1,1,maize,1
135,2,1,1,maize,1
135,2,2,1,sorghum,1
135,3,1,1,vegetable,1
136,1,1,1,rice,1
136,2,1,1,maize,1
136,3,1,1,sorghum,1
137,1,1,1,maize,1
137,1,2,1,sorghum,1
137,2,1,1,rice,1
138,1,1,1,maize,1
138,2,1,1,sorghum,1
138,3,1,1,tomatoes,1
139,1,1,1,maize,1
139,1,2,1,beans,1
139,1,3,1,sweetpotato,1
139,1,4,1,ngogwe,1
139,1,5,1,vegetable,1
140,1,1,1,maize,1
140,2,1,1,sorghum,1
140,3,1,1,tomatoes,1
140,3,2,1,vegetable,1
140,3,3,1,piri_piri,1
141,1,1,1,rice,1
141,2,1,1,maize,1
141,3,1,1,onion,1
141,3,2,1,vegetable,1
142,1,1,1,rice,1
142,2,1,1,maize,1
142,3,1,1,onion,1
142,3,2,1,vegetable,1
142,4,1,1,beans,1
142,5,1,1,sesame,1
143,1,1,1,maize,1
143,2,1,1,rice,1
144,1,1,1,maize,1
144,1,2,1,sorghum,1
144,2,1,1,tomatoes,1
145,1,1,1,maize,1
145,2,1,1,maize,1
145,2,2,1,sorghum,1
146,1,1,1,maize,1
146,1,2,1,sesame,1
146,1,3,1,piri_piri,1
146,2,1,1,rice,1
146,3,1,1,sorghum,1
147,1,1,1,maize,1
147,2,1,1,rice,1
147,3,1,1,sorghum,1
148,1,1,1,maize,1
148,1,2,1,sorghum,1
148,2,1,1,rice,1
149,1,1,1,maize,1
149,2,1,1,maize,1
149,3,1,1,sorghum,1
149,4,1,1,sorghum,1
150,1,1,1,maize,1
150,2,1,1,tomatoes,1
150,2,2,1,vegetable,1
151,1,1,1,maize,1
151,2,1,1,sorghum,1
151,3,1,1,rice,1
152,1,1,1,maize,1
152,2,1,1,rice,1
152,3,1,1,tomatoes,1
152,3,2,1,onion,1
152,3,3,1,vegetable,1
152,4,1,1,sorghum,1
153,1,1,1,maize,1
153,2,1,1,sorghum,1
153,3,1,1,rice,1
154,1,1,1,maize,1
154,2,1,1,sorghum,1
154,3,1,1,sorghum,1
155,1,1,1,maize,1
155,2,1,1,maize,1
156,1,1,1,maize,1
156,2,1,1,rice,1
156,3,1,1,tomatoes,1
157,1,1,1,sesame,1
157,2,1,1,maize,1
157,3,1,1,sorghum,1
157,4,1,1,tomatoes,1
157,4,2,1,vegetable,1
158,1,1,1,maize,1
158,2,1,1,rice,1
159,1,1,1,maize,1
159,1,2,1,sorghum,1
159,1,3,1,cassava,1
160,1,1,1,sorghum,1
160,1,2,1,rice,1
161,1,1,1,rice,1
161,2,1,1,sorghum,1
162,1,1,1,maize,1
162,1,2,1,sorghum,1
162,2,1,1,rice,1
163,1,1,1,sorghum,1
163,2,1,1,rice,1
164,1,1,1,maize,1
164,1,2,1,sorghum,1
164,1,3,1,rice,1
165,1,1,1,maize,1
165,1,2,1,beans,1
165,1,3,1,sorghum,1
165,1,4,1,cassava,1
165,2,1,1,rice,1
166,1,1,1,maize,1
166,1,2,1,sorghum,1
166,2,1,1,rice,1
167,1,1,1,maize,1
167,1,2,1,sorghum,1
167,1,3,1,rice,1
168,1,1,1,maize,1
168,1,2,1,beans,1
168,1,3,1,sorghum,1
168,1,4,1,cassava,1
168,1,5,1,peanut,1
168,2,1,1,rice,1
169,1,1,1,maize,1
169,1,2,1,sorghum,1
169,1,3,1,rice,1
170,1,1,1,maize,1
170,2,1,1,sorghum,1
170,3,1,1,rice,1
171,1,1,1,maize,1
171,1,2,1,sorghum,1
171,2,1,1,maize,1
171,2,2,1,tomatoes,1
172,1,1,1,maize,1
172,1,2,1,sorghum,1
172,2,1,1,onion,1
172,2,2,1,vegetable,1
172,3,1,1,maize,1
172,3,2,1,sorghum,1
172,3,3,1,tomatoes,1
172,3,4,1,sesame,1
173,1,1,1,maize,1
173,2,1,1,rice,1
173,2,2,1,vegetable,1
174,1,1,1,maize,1
174,1,2,1,sorghum,1
174,2,1,1,maize,1
174,2,2,1,rice,1
175,1,1,1,rice,1
175,2,1,1,rice,1
175,3,1,1,maize,1
175,3,2,1,sorghum,1
176,1,1,1,rice,1
176,2,1,1,rice,1
176,3,1,1,maize,1
176,3,2,1,sorghum,1
177,1,1,1,rice,1
177,2,1,1,maize,1
177,2,2,1,sesame,1
178,1,1,1,maize,1
178,2,1,1,maize,1
178,3,1,1,rice,1
179,1,1,1,maize,1
179,1,2,1,sorghum,1
179,2,1,1,rice,1
180,1,1,1,maize,1
180,2,1,1,rice,1
181,1,1,1,maize,1
181,2,1,1,maize,1
181,3,1,1,rice,1
182,1,1,1,maize,1
182,2,1,1,rice,1
183,1,1,1,rice,1
183,2,1,1,maize,1
184,1,1,1,pigeonpeas,1
184,1,2,1,maize,1
184,1,3,1,sesame,1
184,2,1,1,other,1
185,1,1,1,maize,1
185,2,1,1,sorghum,1
185,3,1,1,rice,1
186,1,1,1,maize,1
186,1,2,1,sorghum,1
186,2,1,1,rice,1
187,1,1,1,maize,1
187,1,2,1,sorghum,1
187,2,1,1,rice,1
188,1,1,1,maize,1
188,1,2,1,sorghum,1
189,1,1,1,sorghum,1
189,2,1,1,maize,1
189,3,1,1,rice,1
189,4,1,1,tomatoes,1
190,1,1,1,maize,1
190,1,2,1,sorghum,1
190,2,1,1,rice,1
191,1,1,1,maize,1
191,2,1,1,sorghum,1
191,3,1,1,rice,1
192,1,1,1,maize,1
192,1,2,1,sorghum,1
192,2,1,1,maize,1
192,3,1,1,other,1
193,1,1,1,maize,1
193,1,2,1,sorghum,1
193,2,1,1,pigeonpeas,1
193,2,2,1,maize,1
193,2,3,1,sorghum,1
194,1,1,1,maize,1
194,2,1,1,other,1
195,1,1,1,sorghum,1
195,2,1,1,rice,1
195,3,1,1,maize,1
196,1,1,1,sorghum,1
196,2,1,1,maize,1
196,3,1,1,rice,1
197,1,1,1,maize,1
197,2,1,1,sorghum,1
197,3,1,1,rice,1
197,4,1,1,millet,1
198,1,1,1,maize,1
198,1,2,1,sorghum,1
198,2,1,1,rice,1
199,1,1,1,maize,1
199,1,2,1,sorghum,1
199,1,3,1,millet,1
199,2,1,1,other,1
199,3,1,1,maize,1
199,4,1,1,maize,1
200,1,1,1,maize,1
200,2,1,1,sorghum,1
200,3,1,1,rice,1
